"YEAR","ARREST_PRECINCT","ARRESTS"
2006,1,4024
2006,5,5110
2006,6,3862
2006,7,3088
2006,9,4152
2006,10,3770
2006,13,3808
2006,14,13828
2006,17,1945
2006,18,4571
2006,19,3788
2006,20,2164
2006,22,642
2006,23,6217
2006,24,2938
2006,25,7798
2006,26,2775
2006,28,5873
2006,30,4495
2006,32,6119
2006,33,5662
2006,34,5652
2006,40,10964
2006,41,5906
2006,42,5596
2006,43,10690
2006,44,11858
2006,45,2969
2006,46,12296
2006,47,5797
2006,48,5467
2006,49,2711
2006,50,1902
2006,52,7739
2006,60,4614
2006,61,3282
2006,62,2615
2006,63,2160
2006,66,2010
2006,67,6590
2006,68,1946
2006,69,2770
2006,70,5435
2006,71,4950
2006,72,4271
2006,73,9081
2006,75,12204
2006,76,2632
2006,77,6093
2006,78,2033
2006,79,6943
2006,81,4026
2006,83,6896
2006,84,4110
2006,88,2891
2006,90,4005
2006,94,1476
2006,100,1621
2006,101,3419
2006,102,3839
2006,103,6832
2006,104,3982
2006,105,4984
2006,106,3322
2006,107,3383
2006,108,3254
2006,109,5182
2006,110,6378
2006,111,1955
2006,112,2495
2006,113,5564
2006,114,6615
2006,115,7494
2006,120,7326
2006,122,3920
2006,123,1160
2007,1,4797
2007,5,5069
2007,6,4568
2007,7,3596
2007,9,4193
2007,10,3221
2007,13,4178
2007,14,14519
2007,17,2119
2007,18,4836
2007,19,3698
2007,20,2400
2007,22,679
2007,23,6046
2007,24,3630
2007,25,9057
2007,26,2925
2007,27,1
2007,28,5935
2007,30,5477
2007,32,6227
2007,33,6740
2007,34,6374
2007,40,11167
2007,41,6898
2007,42,5813
2007,43,12077
2007,44,13668
2007,45,2927
2007,46,13123
2007,47,7145
2007,48,7846
2007,49,2965
2007,50,2554
2007,52,9534
2007,60,4988
2007,61,3514
2007,62,2840
2007,63,2605
2007,66,2008
2007,67,7258
2007,68,2234
2007,69,2922
2007,70,5800
2007,71,5700
2007,72,4419
2007,73,10965
2007,75,13086
2007,76,2324
2007,77,6414
2007,78,1675
2007,79,8247
2007,81,4840
2007,83,7147
2007,84,4174
2007,88,3145
2007,90,3692
2007,94,1395
2007,100,1756
2007,101,3679
2007,102,4383
2007,103,7159
2007,104,3545
2007,105,4486
2007,106,3949
2007,107,3010
2007,108,3467
2007,109,4816
2007,110,6866
2007,111,1844
2007,112,2427
2007,113,6332
2007,114,7560
2007,115,8147
2007,120,7645
2007,122,3643
2007,123,1123
2008,1,5008
2008,5,5333
2008,6,4355
2008,7,3116
2008,9,4348
2008,10,3711
2008,13,4225
2008,14,14080
2008,17,1816
2008,18,4824
2008,19,3362
2008,20,2349
2008,22,654
2008,23,5960
2008,24,3368
2008,25,8852
2008,26,3222
2008,28,5903
2008,30,4674
2008,32,7413
2008,33,6843
2008,34,5768
2008,40,11071
2008,41,7310
2008,42,6408
2008,43,11117
2008,44,13810
2008,45,3339
2008,46,13652
2008,47,7650
2008,48,7049
2008,49,3034
2008,50,2542
2008,52,9068
2008,60,4808
2008,61,3338
2008,62,2915
2008,63,2377
2008,66,1824
2008,67,6308
2008,68,2206
2008,69,2847
2008,70,5750
2008,71,4916
2008,72,4036
2008,73,11292
2008,75,13673
2008,76,2200
2008,77,6539
2008,78,1674
2008,79,7483
2008,81,5028
2008,83,7116
2008,84,4340
2008,88,2767
2008,90,4253
2008,94,1411
2008,100,1904
2008,101,3877
2008,102,4764
2008,103,7991
2008,104,3776
2008,105,3931
2008,106,3441
2008,107,3098
2008,108,2997
2008,109,4665
2008,110,6536
2008,111,1857
2008,112,2344
2008,113,6379
2008,114,6215
2008,115,8415
2008,120,9176
2008,122,4395
2008,123,1433
2009,1,5371
2009,5,5635
2009,6,4665
2009,7,3455
2009,9,4385
2009,10,3492
2009,13,4625
2009,14,15004
2009,17,1866
2009,18,5355
2009,19,3337
2009,20,2534
2009,22,611
2009,23,6349
2009,24,3371
2009,25,8785
2009,26,3293
2009,28,6975
2009,30,5523
2009,32,7227
2009,33,6538
2009,34,6126
2009,40,11989
2009,41,7387
2009,42,7679
2009,43,11266
2009,44,14271
2009,45,3386
2009,46,13078
2009,47,7737
2009,48,7417
2009,49,3253
2009,50,2979
2009,52,9413
2009,60,5213
2009,61,3430
2009,62,2826
2009,63,2282
2009,66,1756
2009,67,7038
2009,68,2463
2009,69,2725
2009,70,6012
2009,71,5246
2009,72,3778
2009,73,12552
2009,75,15425
2009,76,2136
2009,77,6626
2009,78,1659
2009,79,9467
2009,81,5643
2009,83,7067
2009,84,4779
2009,88,3008
2009,90,4106
2009,94,1637
2009,100,2062
2009,101,3758
2009,102,4282
2009,103,8219
2009,104,4337
2009,105,4548
2009,106,3701
2009,107,3462
2009,108,2696
2009,109,4845
2009,110,6389
2009,111,1904
2009,112,2672
2009,113,7603
2009,114,6171
2009,115,9443
2009,120,8676
2009,122,3766
2009,123,1531
2010,1,4950
2010,5,6039
2010,6,4635
2010,7,3620
2010,9,4542
2010,10,3134
2010,13,4936
2010,14,15359
2010,17,1899
2010,18,5539
2010,19,3182
2010,20,2274
2010,22,757
2010,23,6158
2010,24,3146
2010,25,9960
2010,26,3399
2010,28,6169
2010,30,4498
2010,32,6830
2010,33,6077
2010,34,6071
2010,40,11543
2010,41,7264
2010,42,7472
2010,43,11409
2010,44,15859
2010,45,3333
2010,46,10593
2010,47,7744
2010,48,7756
2010,49,3839
2010,50,2316
2010,52,11407
2010,60,5090
2010,61,3140
2010,62,2515
2010,63,2301
2010,66,1837
2010,67,6598
2010,68,2476
2010,69,3003
2010,70,6286
2010,71,5827
2010,72,3998
2010,73,13109
2010,75,15505
2010,76,2076
2010,77,7077
2010,78,1470
2010,79,8386
2010,81,6241
2010,83,6924
2010,84,4999
2010,88,3120
2010,90,4045
2010,94,1876
2010,100,2100
2010,101,3872
2010,102,4384
2010,103,8610
2010,104,5059
2010,105,4602
2010,106,3767
2010,107,3419
2010,108,2955
