"BORO_NM","ADDR_PCT_CD"
"BRONX",43
"BROOKLYN",66
"QUEENS",106
"BROOKLYN",79
"MANHATTAN",30
"BROOKLYN",69
"BRONX",40
"BROOKLYN",75
"MANHATTAN",34
"BRONX",48
"BROOKLYN",68
"STATEN ISLAND",122
"BROOKLYN",71
"QUEENS",109
"QUEENS",110
"MANHATTAN",23
"BRONX",44
"MANHATTAN",10
"BROOKLYN",72
"BROOKLYN",83
"BROOKLYN",61
"MANHATTAN",1
"BRONX",42
"MANHATTAN",13
"MANHATTAN",6
"BROOKLYN",88
"BROOKLYN",94
"BROOKLYN",73
"BROOKLYN",76
"QUEENS",115
"BROOKLYN",90
"BRONX",47
"QUEENS",113
"QUEENS",101
NA,67
"MANHATTAN",9
"BRONX",46
"BRONX",52
"BRONX",45
"QUEENS",103
"MANHATTAN",25
"STATEN ISLAND",123
"BROOKLYN",63
"QUEENS",114
"QUEENS",102
"MANHATTAN",7
"MANHATTAN",14
"QUEENS",100
"QUEENS",105
"BROOKLYN",70
"BROOKLYN",67
"STATEN ISLAND",120
"QUEENS",112
"MANHATTAN",19
"MANHATTAN",33
"BROOKLYN",60
"MANHATTAN",28
"QUEENS",108
"QUEENS",107
"BROOKLYN",77
"QUEENS",104
"MANHATTAN",26
"QUEENS",111
"MANHATTAN",24
"BRONX",41
"BROOKLYN",81
"BROOKLYN",62
"MANHATTAN",17
"MANHATTAN",18
"BROOKLYN",78
"BRONX",49
"BROOKLYN",84
"BRONX",50
"MANHATTAN",5
"MANHATTAN",32
NA,45
"MANHATTAN",114
"MANHATTAN",20
"MANHATTAN",22
NA,75
NA,43
NA,123
NA,71
NA,46
NA,NA
NA,28
NA,18
NA,48
NA,90
NA,69
NA,14
NA,13
NA,52
NA,109
NA,84
NA,17
NA,122
NA,104
NA,113
NA,103
NA,77
NA,114
NA,102
NA,60
NA,81
NA,112
NA,30
NA,9
NA,25
NA,70
"QUEENS",75
NA,105
NA,23
NA,44
NA,88
"MANHATTAN",111
NA,34
NA,107
NA,49
"MANHATTAN",106
NA,115
NA,79
NA,61
NA,1
"STATEN ISLAND",61
"BROOKLYN",26
"BROOKLYN",7
NA,72
NA,32
"MANHATTAN",NA
"BRONX",73
NA,110
NA,5
NA,66
"BRONX",75
NA,19
NA,76
"BROOKLYN",NA
NA,106
NA,24
NA,73
NA,83
NA,41
"BRONX",NA
NA,47
NA,120
NA,63
NA,62
NA,108
"QUEENS",120
NA,42
NA,33
"MANHATTAN",107
NA,40
NA,26
"BRONX",88
"QUEENS",NA
NA,7
NA,20
NA,78
"MANHATTAN",109
"MANHATTAN",52
NA,10
NA,101
NA,22
"BRONX",90
"STATEN ISLAND",NA
NA,6
"MANHATTAN",101
"MANHATTAN",108
NA,100
"BROOKLYN",25
NA,111
"BROOKLYN",50
"MANHATTAN",102
"BROOKLYN",30
"MANHATTAN",110
"QUEENS",66
"BRONX",79
"MANHATTAN",104
NA,50
NA,94
"BRONX",60
"BROOKLYN",115
"MANHATTAN",88
"BRONX",83
"QUEENS",94
"BRONX",9
"BRONX",84
"BROOKLYN",10
"STATEN ISLAND",106
"BROOKLYN",47
"MANHATTAN",103
"STATEN ISLAND",5
"MANHATTAN",44
"QUEENS",122
"BROOKLYN",32
"BRONX",68
"MANHATTAN",45
"QUEENS",63
"STATEN ISLAND",103
"STATEN ISLAND",114
"MANHATTAN",66
"QUEENS",25
"MANHATTAN",79
"BROOKLYN",19
"BRONX",71
"BROOKLYN",24
NA,68
"BROOKLYN",20
"MANHATTAN",81
"BROOKLYN",101
"BROOKLYN",40
"BROOKLYN",104
"QUEENS",71
"BRONX",70
"BROOKLYN",113
"QUEENS",20
"BRONX",20
"BROOKLYN",120
"QUEENS",26
"BROOKLYN",107
"MANHATTAN",48
"MANHATTAN",113
"BRONX",72
"BRONX",62
"STATEN ISLAND",23
"MANHATTAN",112
"BROOKLYN",41
"BRONX",34
"BRONX",26
"QUEENS",30
"MANHATTAN",75
"BROOKLYN",114
"QUEENS",41
"BROOKLYN",48
"BRONX",23
"BRONX",69
"BRONX",66
"MANHATTAN",40
"MANHATTAN",67
"QUEENS",43
"BROOKLYN",33
"BRONX",77
"QUEENS",49
"MANHATTAN",122
"QUEENS",19
"MANHATTAN",83
"BROOKLYN",106
"MANHATTAN",43
"STATEN ISLAND",104
"QUEENS",9
"BROOKLYN",6
"STATEN ISLAND",46
"BROOKLYN",22
"STATEN ISLAND",72
"BRONX",13
"QUEENS",84
"BROOKLYN",18
"MANHATTAN",120
"STATEN ISLAND",67
"BROOKLYN",100
"MANHATTAN",71
"BRONX",32
"MANHATTAN",69
"BRONX",81
"BROOKLYN",5
"MANHATTAN",84
"STATEN ISLAND",7
"QUEENS",44
"BROOKLYN",46
"MANHATTAN",41
"BROOKLYN",110
"MANHATTAN",105
"STATEN ISLAND",107
"BRONX",14
"BRONX",25
"BRONX",94
"QUEENS",90
"MANHATTAN",94
"QUEENS",83
"MANHATTAN",50
"MANHATTAN",115
"BRONX",19
"BRONX",78
"BROOKLYN",1
"BROOKLYN",44
"BRONX",76
"MANHATTAN",46
"BROOKLYN",111
"QUEENS",70
"QUEENS",88
"STATEN ISLAND",111
"BRONX",28
"QUEENS",6
"BRONX",10
"BROOKLYN",9
"QUEENS",24
"BROOKLYN",49
"STATEN ISLAND",101
"MANHATTAN",90
"BROOKLYN",28
"QUEENS",68
"QUEENS",123
"BROOKLYN",103
"MANHATTAN",47
"BRONX",33
"MANHATTAN",70
"QUEENS",72
"BROOKLYN",102
"QUEENS",14
"STATEN ISLAND",1
"BROOKLYN",43
"QUEENS",10
"BRONX",61
"BROOKLYN",34
"BROOKLYN",122
"BRONX",102
"QUEENS",23
"BROOKLYN",14
"BROOKLYN",23
"BRONX",115
"MANHATTAN",42
"BRONX",103
"STATEN ISLAND",115
"BRONX",63
"MANHATTAN",49
"STATEN ISLAND",68
"BRONX",113
"MANHATTAN",100
"STATEN ISLAND",121
"BROOKLYN",105
"MANHATTAN",76
"STATEN ISLAND",77
"BROOKLYN",45
"QUEENS",34
"STATEN ISLAND",113
"QUEENS",5
"QUEENS",121
"STATEN ISLAND",108
