"YEAR","ADDR_PCT_CD","KY_CD","CMPLNTS"
2006,1,104,4
2006,1,105,117
2006,1,106,91
2006,1,107,253
2006,1,109,1449
2006,1,110,77
2006,1,111,3
2006,1,112,38
2006,1,113,86
2006,1,114,8
2006,1,116,6
2006,1,117,6
2006,1,118,5
2006,1,121,60
2006,1,124,4
2006,1,126,61
2006,1,230,1
2006,1,232,13
2006,1,233,32
2006,1,235,19
2006,1,236,15
2006,1,238,9
2006,1,340,31
2006,1,341,1839
2006,1,343,11
2006,1,344,303
2006,1,347,41
2006,1,348,51
2006,1,350,11
2006,1,351,301
2006,1,352,21
2006,1,353,4
2006,1,354,1
2006,1,355,13
2006,1,358,268
2006,1,359,51
2006,1,360,27
2006,1,361,377
2006,1,364,2
2006,1,365,2
2006,1,578,562
2006,1,678,6
2006,5,101,1
2006,5,104,5
2006,5,105,122
2006,5,106,101
2006,5,107,151
2006,5,109,602
2006,5,110,40
2006,5,111,14
2006,5,112,28
2006,5,113,182
2006,5,114,1
2006,5,116,3
2006,5,117,20
2006,5,118,29
2006,5,121,85
2006,5,122,1
2006,5,124,1
2006,5,126,111
2006,5,230,4
2006,5,232,14
2006,5,233,27
2006,5,235,44
2006,5,236,23
2006,5,238,5
2006,5,340,15
2006,5,341,788
2006,5,343,2
2006,5,344,293
2006,5,345,1
2006,5,346,1
2006,5,347,25
2006,5,348,32
2006,5,350,6
2006,5,351,280
2006,5,352,59
2006,5,353,1
2006,5,355,2
2006,5,358,416
2006,5,359,70
2006,5,360,25
2006,5,361,163
2006,5,364,4
2006,5,365,4
2006,5,578,372
2006,5,675,3
2006,5,678,1
2006,6,104,6
2006,6,105,202
2006,6,106,118
2006,6,107,275
2006,6,109,1271
2006,6,110,70
2006,6,111,12
2006,6,112,62
2006,6,113,45
2006,6,114,3
2006,6,116,7
2006,6,117,60
2006,6,118,18
2006,6,121,119
2006,6,126,34
2006,6,230,1
2006,6,231,1
2006,6,232,44
2006,6,233,41
2006,6,235,393
2006,6,236,21
2006,6,237,1
2006,6,238,4
2006,6,340,59
2006,6,341,1337
2006,6,343,6
2006,6,344,274
2006,6,345,1
2006,6,346,1
2006,6,347,65
2006,6,348,41
2006,6,351,288
2006,6,352,16
2006,6,353,7
2006,6,355,5
2006,6,356,1
2006,6,358,7
2006,6,359,36
2006,6,360,53
2006,6,361,210
2006,6,363,1
2006,6,365,3
2006,6,578,416
2006,6,676,1
2006,6,678,8
2006,7,101,1
2006,7,103,1
2006,7,104,7
2006,7,105,169
2006,7,106,102
2006,7,107,127
2006,7,109,360
2006,7,110,82
2006,7,111,7
2006,7,112,25
2006,7,113,77
2006,7,114,3
2006,7,116,9
2006,7,117,71
2006,7,118,33
2006,7,121,36
2006,7,124,1
2006,7,125,1
2006,7,126,71
2006,7,231,2
2006,7,232,22
2006,7,233,27
2006,7,235,246
2006,7,236,83
2006,7,340,15
2006,7,341,601
2006,7,342,3
2006,7,343,1
2006,7,344,372
2006,7,345,2
2006,7,347,37
2006,7,348,30
2006,7,350,1
2006,7,351,377
2006,7,352,77
2006,7,353,4
2006,7,355,7
2006,7,358,13
2006,7,359,44
2006,7,360,17
2006,7,361,209
2006,7,363,1
2006,7,364,4
2006,7,365,5
2006,7,578,471
2006,7,675,1
2006,7,678,4
2006,9,103,1
2006,9,104,14
2006,9,105,244
2006,9,106,161
2006,9,107,297
2006,9,109,771
2006,9,110,74
2006,9,111,12
2006,9,112,111
2006,9,113,70
2006,9,114,9
2006,9,116,8
2006,9,117,89
2006,9,118,43
2006,9,120,2
2006,9,121,80
2006,9,124,1
2006,9,125,1
2006,9,126,138
2006,9,231,1
2006,9,232,132
2006,9,233,40
2006,9,235,284
2006,9,236,66
2006,9,238,4
2006,9,340,32
2006,9,341,1499
2006,9,342,5
2006,9,343,5
2006,9,344,488
2006,9,345,1
2006,9,346,2
2006,9,347,39
2006,9,348,56
2006,9,351,433
2006,9,352,94
2006,9,353,6
2006,9,355,14
2006,9,356,1
2006,9,358,7
2006,9,359,49
2006,9,360,12
2006,9,361,280
2006,9,364,2
2006,9,365,5
2006,9,578,691
2006,9,675,8
2006,9,676,1
2006,9,678,4
2006,10,104,9
2006,10,105,165
2006,10,106,144
2006,10,107,175
2006,10,109,852
2006,10,110,91
2006,10,111,14
2006,10,112,68
2006,10,113,83
2006,10,114,6
2006,10,116,13
2006,10,117,93
2006,10,118,51
2006,10,121,50
2006,10,122,1
2006,10,124,2
2006,10,125,5
2006,10,126,54
2006,10,231,3
2006,10,232,15
2006,10,233,26
2006,10,234,1
2006,10,235,189
2006,10,236,39
2006,10,238,1
2006,10,340,38
2006,10,341,967
2006,10,342,2
2006,10,343,11
2006,10,344,471
2006,10,345,1
2006,10,347,137
2006,10,348,40
2006,10,350,1
2006,10,351,286
2006,10,352,75
2006,10,353,7
2006,10,355,3
2006,10,356,1
2006,10,358,18
2006,10,359,40
2006,10,360,10
2006,10,361,233
2006,10,365,2
2006,10,578,489
2006,10,678,4
2006,13,101,1
2006,13,104,9
2006,13,105,294
2006,13,106,145
2006,13,107,440
2006,13,109,1702
2006,13,110,94
2006,13,111,8
2006,13,112,206
2006,13,113,150
2006,13,114,6
2006,13,116,5
2006,13,117,46
2006,13,118,41
2006,13,121,101
2006,13,124,3
2006,13,125,2
2006,13,126,86
2006,13,230,1
2006,13,231,4
2006,13,232,46
2006,13,233,82
2006,13,235,51
2006,13,236,46
2006,13,238,5
2006,13,340,33
2006,13,341,1809
2006,13,342,1
2006,13,343,8
2006,13,344,504
2006,13,345,1
2006,13,347,45
2006,13,348,65
2006,13,350,1
2006,13,351,423
2006,13,352,26
2006,13,353,6
2006,13,354,1
2006,13,355,7
2006,13,358,26
2006,13,359,66
2006,13,360,29
2006,13,361,401
2006,13,364,6
2006,13,365,3
2006,13,578,783
2006,13,675,1
2006,13,677,1
2006,13,678,9
2006,14,104,3
2006,14,105,283
2006,14,106,179
2006,14,107,606
2006,14,109,3042
2006,14,110,33
2006,14,111,67
2006,14,112,70
2006,14,113,599
2006,14,114,3
2006,14,115,2
2006,14,116,11
2006,14,117,90
2006,14,118,61
2006,14,121,119
2006,14,124,4
2006,14,125,5
2006,14,126,104
2006,14,230,4
2006,14,231,4
2006,14,232,30
2006,14,233,189
2006,14,234,1
2006,14,235,401
2006,14,236,114
2006,14,238,166
2006,14,340,46
2006,14,341,4201
2006,14,343,32
2006,14,344,681
2006,14,345,2
2006,14,346,1
2006,14,347,87
2006,14,348,82
2006,14,350,5
2006,14,351,298
2006,14,352,35
2006,14,353,4
2006,14,355,25
2006,14,356,11
2006,14,358,154
2006,14,359,176
2006,14,360,113
2006,14,361,411
2006,14,363,1
2006,14,364,13
2006,14,365,4
2006,14,578,766
2006,14,675,1
2006,14,677,1
2006,14,678,27
2006,17,104,10
2006,17,105,96
2006,17,106,71
2006,17,107,214
2006,17,109,957
2006,17,110,34
