year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population
2006,1,1967,46,4024,6279,40.71257748983047,-74.00930744818399,66679
2007,1,1887,117,4797,6762,40.71257748983047,-74.00930744818399,66679
2008,1,2506,221,5008,6614,40.71257748983047,-74.00930744818399,66679
2009,1,2585,238,5371,6280,40.71257748983047,-74.00930744818399,66679
2010,1,2446,260,4950,5895,40.71257748983047,-74.00930744818399,66679
2011,1,3626,215,5583,5955,40.71257748983047,-74.00930744818399,66679
2012,1,3053,189,5479,6287,40.71257748983047,-74.00930744818399,66679
2013,1,1159,93,4778,6055,40.71257748983047,-74.00930744818399,66679
2014,1,88,11,4676,5636,40.71257748983047,-74.00930744818399,66679
2015,1,45,4,4119,5655,40.71257748983047,-74.00930744818399,66679
2016,1,60,7,3787,6296,40.71257748983047,-74.00930744818399,66679
2017,1,47,6,3074,6091,40.71257748983047,-74.00930744818399,66679
2018,1,99,26,2792,6889,40.71257748983047,-74.00930744818399,66679
2006,5,3378,309,5110,4177,40.71588182613064,-73.9978855522613,52568
2007,5,2834,258,5069,4430,40.71588182613064,-73.9978855522613,52568
2008,5,3132,286,5333,4614,40.71588182613064,-73.9978855522613,52568
2009,5,2880,234,5635,4512,40.71588182613064,-73.9978855522613,52568
2010,5,2871,340,6039,4930,40.71588182613064,-73.9978855522613,52568
2011,5,3118,372,5791,4472,40.71588182613064,-73.9978855522613,52568
2012,5,2782,304,5960,4642,40.71588182613064,-73.9978855522613,52568
2013,5,1116,122,6121,4449,40.71588182613064,-73.9978855522613,52568
2014,5,275,60,6046,4225,40.71588182613064,-73.9978855522613,52568
2015,5,187,27,5423,4341,40.71588182613064,-73.9978855522613,52568
2016,5,95,24,5423,4422,40.71588182613064,-73.9978855522613,52568
2017,5,108,51,5164,4310,40.71588182613064,-73.9978855522613,52568
2018,5,87,22,4570,4299,40.71588182613064,-73.9978855522613,52568
2006,6,2597,139,3862,5644,40.73369032087382,-74.0028751907767,62226
2007,6,3109,193,4568,5977,40.73369032087382,-74.0028751907767,62226
2008,6,3311,216,4355,5635,40.73369032087382,-74.0028751907767,62226
2009,6,2325,163,4665,5455,40.73369032087382,-74.0028751907767,62226
2010,6,3533,265,4635,5426,40.73369032087382,-74.0028751907767,62226
2011,6,2954,222,4643,5283,40.73369032087382,-74.0028751907767,62226
2012,6,3637,200,4174,5513,40.73369032087382,-74.0028751907767,62226
2013,6,1273,103,4499,5701,40.73369032087382,-74.0028751907767,62226
2014,6,107,12,4476,5071,40.73369032087382,-74.0028751907767,62226
2015,6,27,3,3799,4993,40.73369032087382,-74.0028751907767,62226
2016,6,37,11,2851,4656,40.73369032087382,-74.0028751907767,62226
2017,6,53,16,3194,5040,40.73369032087382,-74.0028751907767,62226
2018,6,103,61,2722,4952,40.73369032087382,-74.0028751907767,62226
2006,7,4207,459,3088,3859,40.71558922241378,-73.98498879367817,56355
2007,7,4935,598,3596,4404,40.71558922241378,-73.98498879367817,56355
2008,7,4293,414,3116,4500,40.71558922241378,-73.98498879367817,56355
2009,7,3825,365,3455,4146,40.71558922241378,-73.98498879367817,56355
2010,7,3224,418,3620,4122,40.71558922241378,-73.98498879367817,56355
2011,7,4177,494,3917,3907,40.71558922241378,-73.98498879367817,56355
2012,7,3501,382,4124,4163,40.71558922241378,-73.98498879367817,56355
2013,7,1120,207,3818,3815,40.71558922241378,-73.98498879367817,56355
2014,7,333,88,3368,3852,40.71558922241378,-73.98498879367817,56355
2015,7,165,29,3305,4050,40.71558922241378,-73.98498879367817,56355
2016,7,75,21,2871,4372,40.71558922241378,-73.98498879367817,56355
2017,7,110,52,2713,4282,40.71558922241378,-73.98498879367817,56355
2018,7,138,37,2311,4031,40.71558922241378,-73.98498879367817,56355
2006,9,4450,415,4152,6387,40.726152659183676,-73.98415626666659,76443
2007,9,4155,504,4193,6372,40.726152659183676,-73.98415626666659,76443
2008,9,4635,506,4348,6790,40.726152659183676,-73.98415626666659,76443
2009,9,5196,565,4385,6662,40.726152659183676,-73.98415626666659,76443
2010,9,5177,748,4542,6362,40.726152659183676,-73.98415626666659,76443
2011,9,5367,895,4364,6173,40.726152659183676,-73.98415626666659,76443
2012,9,5282,1008,4367,6277,40.726152659183676,-73.98415626666659,76443
2013,9,2315,571,4037,6077,40.726152659183676,-73.98415626666659,76443
2014,9,594,291,3926,5451,40.726152659183676,-73.98415626666659,76443
2015,9,261,94,3862,5521,40.726152659183676,-73.98415626666659,76443
2016,9,106,32,3451,5660,40.726152659183676,-73.98415626666659,76443
2017,9,181,81,2888,5122,40.726152659183676,-73.98415626666659,76443
2018,9,118,38,2310,4996,40.726152659183676,-73.98415626666659,76443
2006,10,3127,257,3770,4986,40.75123186666664,-74.00064778571428,50180
2007,10,3437,264,3221,4577,40.75123186666664,-74.00064778571428,50180
2008,10,4213,333,3711,4917,40.75123186666664,-74.00064778571428,50180
2009,10,2760,289,3492,4204,40.75123186666664,-74.00064778571428,50180
2010,10,2728,343,3134,4116,40.75123186666664,-74.00064778571428,50180
2011,10,3089,309,3072,4151,40.75123186666664,-74.00064778571428,50180
2012,10,2406,277,2895,4278,40.75123186666664,-74.00064778571428,50180
2013,10,1219,194,3634,4403,40.75123186666664,-74.00064778571428,50180
2014,10,147,45,3107,3929,40.75123186666664,-74.00064778571428,50180
2015,10,112,9,3091,3786,40.75123186666664,-74.00064778571428,50180
2016,10,79,17,2909,3907,40.75123186666664,-74.00064778571428,50180
2017,10,71,27,2393,3670,40.75123186666664,-74.00064778571428,50180
2018,10,83,32,1954,3975,40.75123186666664,-74.00064778571428,50180
2006,13,3307,274,3808,7829,40.73783362385787,-73.9836402761421,93640
2007,13,4250,349,4178,8111,40.73783362385787,-73.9836402761421,93640
2008,13,5201,400,4225,7884,40.73783362385787,-73.9836402761421,93640
2009,13,4594,346,4625,7604,40.73783362385787,-73.9836402761421,93640
2010,13,4047,335,4936,7150,40.73783362385787,-73.9836402761421,93640
2011,13,5252,541,6006,7149,40.73783362385787,-73.9836402761421,93640
2012,13,3830,473,5628,7147,40.73783362385787,-73.9836402761421,93640
2013,13,1555,316,5762,7383,40.73783362385787,-73.9836402761421,93640
2014,13,491,190,5641,6962,40.73783362385787,-73.9836402761421,93640
2015,13,331,119,5937,7115,40.73783362385787,-73.9836402761421,93640
2016,13,108,31,4556,6708,40.73783362385787,-73.9836402761421,93640
2017,13,195,98,3960,6639,40.73783362385787,-73.9836402761421,93640
2018,13,181,74,3202,7329,40.73783362385787,-73.9836402761421,93640
2006,14,9883,430,13828,13367,40.751718219327714,-73.9863890344538,20651
2007,14,9701,547,14519,13109,40.751718219327714,-73.9863890344538,20651
2008,14,11258,652,14080,12370,40.751718219327714,-73.9863890344538,20651
2009,14,10094,608,15004,12309,40.751718219327714,-73.9863890344538,20651
2010,14,12125,862,15359,12196,40.751718219327714,-73.9863890344538,20651
2011,14,10665,700,13682,11442,40.751718219327714,-73.9863890344538,20651
2012,14,8945,480,13328,11425,40.751718219327714,-73.9863890344538,20651
2013,14,3448,215,14377,11521,40.751718219327714,-73.9863890344538,20651
2014,14,557,99,14873,11021,40.751718219327714,-73.9863890344538,20651
2015,14,311,55,12899,10536,40.751718219327714,-73.9863890344538,20651
2016,14,136,24,11172,10287,40.751718219327714,-73.9863890344538,20651
2017,14,102,18,9655,10157,40.751718219327714,-73.9863890344538,20651
2018,14,91,28,8097,10600,40.751718219327714,-73.9863890344538,20651
2006,17,1429,101,1945,3770,40.751094488023966,-73.97100450958081,79126
2007,17,1617,107,2119,3663,40.751094488023966,-73.97100450958081,79126
2008,17,1990,104,1816,3616,40.751094488023966,-73.97100450958081,79126
2009,17,1611,78,1866,3191,40.751094488023966,-73.97100450958081,79126
2010,17,1842,80,1899,3114,40.751094488023966,-73.97100450958081,79126
2011,17,2060,106,1999,3005,40.751094488023966,-73.97100450958081,79126
2012,17,1331,112,2067,3240,40.751094488023966,-73.97100450958081,79126
2013,17,493,61,2092,3150,40.751094488023966,-73.97100450958081,79126
2014,17,153,26,1969,2896,40.751094488023966,-73.97100450958081,79126
2015,17,121,21,1508,2961,40.751094488023966,-73.97100450958081,79126
2016,17,57,8,1542,3290,40.751094488023966,-73.97100450958081,79126
2017,17,43,15,1699,3729,40.751094488023966,-73.97100450958081,79126
2018,17,31,15,1491,3836,40.751094488023966,-73.97100450958081,79126
2006,18,2918,174,4571,7897,40.76256781043956,-73.9837449895604,54066
2007,18,2570,231,4836,7904,40.76256781043956,-73.9837449895604,54066
2008,18,3485,216,4824,7954,40.76256781043956,-73.9837449895604,54066
2009,18,2495,174,5355,7821,40.76256781043956,-73.9837449895604,54066
2010,18,3153,263,5539,7961,40.76256781043956,-73.9837449895604,54066
2011,18,3633,324,5687,7603,40.76256781043956,-73.9837449895604,54066
2012,18,2978,287,5278,7929,40.76256781043956,-73.9837449895604,54066
2013,18,954,118,5619,8014,40.76256781043956,-73.9837449895604,54066
2014,18,141,7,6231,7976,40.76256781043956,-73.9837449895604,54066
2015,18,100,11,5356,7953,40.76256781043956,-73.9837449895604,54066
2016,18,112,16,4782,8243,40.76256781043956,-73.9837449895604,54066
2017,18,57,21,4937,8397,40.76256781043956,-73.9837449895604,54066
2018,18,96,20,3883,8369,40.76256781043956,-73.9837449895604,54066
2006,19,6385,409,3788,8287,40.77260805757576,-73.95680372030293,208259
2007,19,6898,706,3698,7811,40.77260805757576,-73.95680372030293,208259
2008,19,5394,554,3362,7050,40.77260805757576,-73.95680372030293,208259
2009,19,3784,437,3337,6087,40.77260805757576,-73.95680372030293,208259
2010,19,4260,565,3182,6161,40.77260805757576,-73.95680372030293,208259
2011,19,5250,642,3165,6097,40.77260805757576,-73.95680372030293,208259
2012,19,4652,586,3410,6425,40.77260805757576,-73.95680372030293,208259
2013,19,1388,334,3154,6237,40.77260805757576,-73.95680372030293,208259
2014,19,386,134,2954,5875,40.77260805757576,-73.95680372030293,208259
2015,19,250,110,2830,5856,40.77260805757576,-73.95680372030293,208259
2016,19,108,39,2905,6297,40.77260805757576,-73.95680372030293,208259
2017,19,128,37,2860,6537,40.77260805757576,-73.95680372030293,208259
2018,19,217,87,2352,6681,40.77260805757576,-73.95680372030293,208259
2006,20,3584,166,2164,4271,40.77980067260275,-73.98159936164386,102624
2007,20,3359,312,2400,4265,40.77980067260275,-73.98159936164386,102624
2008,20,2838,300,2349,4283,40.77980067260275,-73.98159936164386,102624
2009,20,3041,472,2534,4208,40.77980067260275,-73.98159936164386,102624
2010,20,4533,499,2274,4178,40.77980067260275,-73.98159936164386,102624
2011,20,5237,417,2194,3773,40.77980067260275,-73.98159936164386,102624
