"YEAR2","STOP_LOCATION_PRECINCT","STOPS","STOP_ARRESTS"
2008,1,2506,221
2008,5,3132,286
2008,6,3311,216
2008,7,4293,414
2008,9,4635,506
2008,10,4213,333
2008,13,5201,400
2008,14,11258,652
2008,17,1990,104
2008,18,3485,216
2008,19,5394,554
2008,20,2838,300
2008,22,675,33
2008,23,15510,1134
2008,24,4147,366
2008,25,8604,1348
2008,26,4277,304
2008,28,6369,600
2008,30,3318,295
2008,32,11524,1014
2008,33,4525,420
2008,34,7611,447
2008,40,12616,716
2008,41,7408,527
2008,42,8555,640
2008,43,10222,794
2008,44,8883,379
2008,45,3402,174
2008,46,7697,389
2008,47,7210,574
2008,48,4109,223
2008,49,4647,216
2008,50,2271,170
2008,52,7712,432
2008,60,6659,360
2008,61,6034,203
2008,62,4642,212
2008,63,2218,76
2008,66,3800,630
2008,67,6860,353
2008,68,3385,243
2008,69,6694,235
2008,70,10479,341
2008,71,4817,213
2008,72,3743,201
2008,73,22960,566
2008,75,27771,684
2008,76,5546,256
2008,77,8321,701
2008,78,2213,64
2008,79,18609,952
2008,81,9687,472
2008,83,9296,566
2008,84,3509,281
2008,88,6280,402
2008,90,11249,471
2008,94,2370,102
2008,100,2853,241
2008,101,7788,610
2008,102,7871,744
2008,103,11706,602
2008,104,7279,237
2008,105,5919,474
2008,106,6465,400
2008,107,5989,218
2008,108,6237,378
2008,109,8242,350
2008,110,9881,352
2008,111,4200,253
2008,112,2764,182
2008,113,8341,528
2008,114,11944,870
2008,115,9742,322
2008,120,17554,1066
2008,122,10754,248
2008,123,4083,150
2009,1,2585,238
2009,5,2880,234
2009,6,2325,163
2009,7,3825,365
2009,9,5196,565
2009,10,2760,289
2009,13,4594,346
2009,14,10094,608
2009,17,1611,78
2009,18,2495,174
2009,19,3784,437
2009,20,3041,472
2009,22,591,27
2009,23,14501,1442
2009,24,3077,396
2009,25,8219,1137
2009,26,4059,390
2009,28,7413,511
2009,30,7633,500
2009,32,12127,970
2009,33,5829,473
2009,34,7296,364
2009,40,15167,608
2009,41,8038,465
2009,42,9471,423
2009,43,9886,1050
2009,44,11956,515
2009,45,4285,245
2009,46,8999,520
2009,47,6685,458
2009,48,3533,268
2009,49,6742,357
2009,50,2323,208
2009,52,9172,439
2009,60,8781,377
2009,61,5396,210
2009,62,6040,206
2009,63,2520,96
2009,66,3987,669
2009,67,12385,588
2009,68,2545,306
2009,69,5667,254
2009,70,10287,303
2009,71,6865,281
2009,72,3999,312
2009,73,26710,597
2009,75,31660,890
2009,76,5421,324
2009,77,10375,719
2009,78,2432,71
2009,79,20726,1096
2009,81,9101,582
2009,83,9436,568
